ID,IV_MAIN_Variable,Politeness_perception,Happiness_PostRequest,age,gender,pol1,job,edu,ethni
1,Control group (no donation request),3.954545455,3.454545455,27,Female,Strong Democrat,Sales and office occupations,2-year College Degree,White/Caucasian
3,Control group (no donation request),4.227272727,2.454545455,59,Male,Moderate Democrat,Unemployed,2-year College Degree,White/Caucasian
6,Control group (no donation request),3.818181818,2.727272727,33,Female,Moderate Democrat,Unemployed,Master's Degree,White/Caucasian
7,Control group (no donation request),2.454545455,3.272727273,34,Male,Independent,Service occupations,4-year College Degree,White/Caucasian
8,Control group (no donation request),3.136363636,2.909090909,46,Female,Moderate Democrat,Other,4-year College Degree,African American
9,Control group (no donation request),2.590909091,2.909090909,32,Male,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,African American
11,Control group (no donation request),2.272727273,4,40,Male,Strong Republican,"Management, professional, and related occupations",High School / GED,White/Caucasian
12,Control group (no donation request),3.181818182,2.545454545,31,Female,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
13,Control group (no donation request),4.454545455,3.636363636,32,Female,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
14,Control group (no donation request),3.772727273,3.636363636,42,Female,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
15,Control group (no donation request),2.818181818,2.818181818,28,Male,Independent,Sales and office occupations,High School / GED,African American
17,Control group (no donation request),3.454545455,4.090909091,37,Female,Moderate Republican,Sales and office occupations,4-year College Degree,White/Caucasian
18,Control group (no donation request),3.818181818,3.636363636,42,Female,Moderate Democrat,Government occupations,4-year College Degree,White/Caucasian
19,Control group (no donation request),2.954545455,2.818181818,30,Male,Moderate Republican,"Farming, fishing, and forestry",4-year College Degree,White/Caucasian
20,Control group (no donation request),2.5,3.818181818,33,Female,Moderate Democrat,Unemployed,4-year College Degree,White/Caucasian
21,Control group (no donation request),2.5,2.272727273,29,Female,Moderate Democrat,Service occupations,4-year College Degree,White/Caucasian
22,Control group (no donation request),3.318181818,2.909090909,45,Female,Independent,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
24,Control group (no donation request),2.863636364,2.909090909,22,Female,Strong Democrat,Sales and office occupations,2-year College Degree,White/Caucasian
25,Control group (no donation request),3.454545455,3.727272727,29,Male,Moderate Republican,Sales and office occupations,2-year College Degree,White/Caucasian
26,Control group (no donation request),3.545454545,2.454545455,44,Female,Moderate Republican,Unemployed,Master's Degree,White/Caucasian
27,Control group (no donation request),3.090909091,2.636363636,28,Female,Moderate Democrat,Sales and office occupations,2-year College Degree,White/Caucasian
30,Control group (no donation request),2.772727273,3.363636364,51,Male,Independent,Sales and office occupations,4-year College Degree,White/Caucasian
32,Control group (no donation request),3.954545455,2.636363636,32,Female,Independent,Other,4-year College Degree,African American
33,Control group (no donation request),2.772727273,4.090909091,55,Female,Independent,Service occupations,2-year College Degree,White/Caucasian
34,Control group (no donation request),3.272727273,1.909090909,29,Male,Independent,Sales and office occupations,High School / GED,White/Caucasian
36,Control group (no donation request),2.636363636,2.454545455,64,Female,Moderate Republican,Service occupations,2-year College Degree,White/Caucasian
37,Control group (no donation request),3.818181818,4,34,Female,Strong Democrat,"Management, professional, and related occupations",2-year College Degree,White/Caucasian
38,Control group (no donation request),2.454545455,1.545454545,21,Female,Strong Democrat,"Management, professional, and related occupations",High School / GED,African American
40,Control group (no donation request),3.772727273,3.272727273,36,Male,Strong Democrat,Service occupations,High School / GED,White/Caucasian
41,Control group (no donation request),2.681818182,2.727272727,31,Male,Independent,"Construction, extraction, and maintenance occupations",High School / GED,White/Caucasian
45,Control group (no donation request),2.636363636,1.181818182,33,Female,Independent,Other,High School / GED,White/Caucasian
47,Control group (no donation request),3.590909091,2.909090909,48,Female,Independent,"Production, transportation, and material moving occupations",High School / GED,White/Caucasian
49,Control group (no donation request),3.545454545,3.272727273,65,Male,Moderate Republican,"Farming, fishing, and forestry",High School / GED,White/Caucasian
53,Control group (no donation request),3.454545455,3.272727273,49,Male,Strong Democrat,Retired,4-year College Degree,White/Caucasian
55,Control group (no donation request),2.363636364,4.181818182,31,Female,Independent,Government occupations,4-year College Degree,White/Caucasian
56,Control group (no donation request),3.636363636,3,47,Male,Moderate Republican,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
57,Control group (no donation request),2.318181818,4.363636364,36,Female,Strong Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
58,Control group (no donation request),3.818181818,3.090909091,61,Male,Moderate Republican,Sales and office occupations,High School / GED,White/Caucasian
59,Control group (no donation request),2.681818182,3.636363636,30,Male,Other,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
62,Control group (no donation request),3.636363636,2.090909091,30,Male,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,African American
63,Control group (no donation request),3.272727273,3.363636364,30,Male,Moderate Democrat,Service occupations,4-year College Degree,Asian
64,Control group (no donation request),3.681818182,4.636363636,50,Female,Moderate Democrat,"Management, professional, and related occupations",2-year College Degree,White/Caucasian
65,Control group (no donation request),2.954545455,3.454545455,27,Male,Strong Republican,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
67,Control group (no donation request),3.227272727,3.909090909,47,Male,Other,"Construction, extraction, and maintenance occupations",2-year College Degree,Other
68,Control group (no donation request),2.454545455,2.636363636,35,Female,Moderate Republican,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
69,Control group (no donation request),2.5,2.363636364,24,Female,Strong Democrat,Unemployed,4-year College Degree,Asian
