ID,IV_MAIN_Variable,Politeness_perception,Happiness_PostRequest,age,gender,pol1,job,edu,ethni
175,Experimental group: asked to donate and accepted in T2,4,2.454545455,39,Male,Strong Democrat,Other,High School / GED,White/Caucasian
180,Experimental group: asked to donate and accepted in T2,3.818181818,3.818181818,47,Female,Strong Republican,Sales and office occupations,High School / GED,White/Caucasian
181,Experimental group: asked to donate and accepted in T2,3.5,3.363636364,28,Male,Moderate Republican,"Farming, fishing, and forestry",Master's Degree,African American
188,Experimental group: asked to donate and accepted in T2,4.318181818,3.545454545,33,Male,Moderate Democrat,Other,High School / GED,African American
190,Experimental group: asked to donate and accepted in T2,3.863636364,3.727272727,63,Female,Strong Democrat,Service occupations,High School / GED,White/Caucasian
204,Experimental group: asked to donate and accepted in T2,3.090909091,2.545454545,54,Male,Independent,Service occupations,Master's Degree,White/Caucasian
222,Experimental group: asked to donate and accepted in T2,4.636363636,4.636363636,70,Female,Moderate Republican,Retired,High School / GED,White/Caucasian
228,Experimental group: asked to donate and accepted in T2,3.590909091,4.545454545,45,Female,Moderate Democrat,Sales and office occupations,4-year College Degree,African American
230,Experimental group: asked to donate and accepted in T2,3.954545455,3.363636364,55,Female,Moderate Democrat,Other,4-year College Degree,White/Caucasian
233,Experimental group: asked to donate and accepted in T2,3.454545455,3.454545455,49,Female,Moderate Democrat,"Management, professional, and related occupations",High School / GED,White/Caucasian
235,Experimental group: asked to donate and accepted in T2,3.045454545,2.363636364,48,Female,Moderate Republican,Unemployed,High School / GED,White/Caucasian
240,Experimental group: asked to donate and accepted in T2,3.545454545,3.181818182,32,Male,Moderate Republican,"Management, professional, and related occupations",4-year College Degree,Asian
244,Experimental group: asked to donate and accepted in T2,3.545454545,2.727272727,28,Female,Moderate Republican,Sales and office occupations,4-year College Degree,White/Caucasian
247,Experimental group: asked to donate and accepted in T2,4.181818182,2.818181818,47,Male,Moderate Democrat,Unemployed,4-year College Degree,White/Caucasian
253,Experimental group: asked to donate and accepted in T2,3.409090909,2.181818182,42,Female,Independent,Sales and office occupations,High School / GED,White/Caucasian
261,Experimental group: asked to donate and accepted in T2,4.045454545,3.818181818,65,Male,Independent,"Production, transportation, and material moving occupations",High School / GED,White/Caucasian
271,Experimental group: asked to donate and accepted in T2,1.863636364,2.818181818,41,Male,Strong Democrat,Service occupations,4-year College Degree,Asian
276,Experimental group: asked to donate and accepted in T2,3.863636364,3.454545455,34,Female,Independent,Service occupations,2-year College Degree,White/Caucasian
279,Experimental group: asked to donate and accepted in T2,4.227272727,3,34,Female,Other,Other,2-year College Degree,White/Caucasian
282,Experimental group: asked to donate and accepted in T2,3.636363636,4,57,Female,Moderate Republican,"Production, transportation, and material moving occupations",2-year College Degree,White/Caucasian
293,Experimental group: asked to donate and accepted in T2,4.454545455,4.818181818,71,Male,Moderate Republican,Retired,2-year College Degree,White/Caucasian
299,Experimental group: asked to donate and accepted in T2,4.045454545,1.818181818,39,Female,Independent,Unemployed,4-year College Degree,African American
307,Experimental group: asked to donate and accepted in T2,4.363636364,3,56,Female,Moderate Republican,Sales and office occupations,High School / GED,White/Caucasian
309,Experimental group: asked to donate and accepted in T2,4,3.272727273,33,Female,Moderate Democrat,"Production, transportation, and material moving occupations",High School / GED,White/Caucasian
311,Experimental group: asked to donate and accepted in T2,4.636363636,5,42,Female,Independent,Sales and office occupations,High School / GED,Asian
312,Experimental group: asked to donate and accepted in T2,4.636363636,4.636363636,32,Female,Strong Democrat,Unemployed,High School / GED,White/Caucasian
318,Experimental group: asked to donate and accepted in T2,4.045454545,3.363636364,46,Male,Strong Republican,Other,High School / GED,White/Caucasian
323,Experimental group: asked to donate and accepted in T2,3,3.090909091,70,Female,Independent,Retired,High School / GED,White/Caucasian
327,Experimental group: asked to donate and accepted in T2,3.272727273,1.909090909,30,Male,Independent,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
330,Experimental group: asked to donate and accepted in T2,2.772727273,2.909090909,30,Male,Moderate Democrat,"Construction, extraction, and maintenance occupations",High School / GED,White/Caucasian
332,Experimental group: asked to donate and accepted in T2,3.318181818,3,34,Male,Strong Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
339,Experimental group: asked to donate and accepted in T2,4,3.545454545,51,Female,Strong Democrat,Sales and office occupations,2-year College Degree,White/Caucasian
349,Experimental group: asked to donate and accepted in T2,3.636363636,2.909090909,41,Female,Independent,Sales and office occupations,2-year College Degree,White/Caucasian
381,Experimental group: asked to donate and accepted in T2,3.136363636,3,54,Male,Moderate Democrat,Service occupations,Master's Degree,White/Caucasian
383,Experimental group: asked to donate and accepted in T2,4.818181818,5,28,Gender variant,Strong Democrat,Other,High School / GED,White/Caucasian
395,Experimental group: asked to donate and accepted in T2,3.727272727,3.272727273,31,Female,Moderate Democrat,Unemployed,4-year College Degree,Asian
397,Experimental group: asked to donate and accepted in T2,3.681818182,3.727272727,47,Female,Moderate Democrat,Service occupations,4-year College Degree,Asian
410,Experimental group: asked to donate and accepted in T2,3.727272727,3.090909091,30,Male,Strong Democrat,"Management, professional, and related occupations","Professional Degree (JD, MD)",Asian
415,Experimental group: asked to donate and accepted in T2,4.681818182,5,33,Male,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
423,Experimental group: asked to donate and accepted in T2,4,4.727272727,60,Female,Strong Democrat,Sales and office occupations,2-year College Degree,African American
425,Experimental group: asked to donate and accepted in T2,3.590909091,3.727272727,61,Male,Moderate Republican,Other,4-year College Degree,White/Caucasian
