ID,IV_MAIN_Variable,Politeness_perception,Happiness_PostRequest,age,gender,pol1,job,edu,ethni
1,Control group (no donation request),3.95454545454545,3.45454545454545,27,Female,Strong Democrat,Sales and office occupations,2-year College Degree,White/Caucasian
3,Control group (no donation request),4.22727272727273,2.45454545454545,59,Male,Moderate Democrat,Unemployed,2-year College Degree,White/Caucasian
6,Control group (no donation request),3.81818181818182,2.72727272727273,33,Female,Moderate Democrat,Unemployed,Master's Degree,White/Caucasian
7,Control group (no donation request),2.45454545454545,3.27272727272727,34,Male,Independent,Service occupations,4-year College Degree,White/Caucasian
8,Control group (no donation request),3.13636363636364,2.90909090909091,46,Female,Moderate Democrat,Other,4-year College Degree,African American
9,Control group (no donation request),2.59090909090909,2.90909090909091,32,Male,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,African American
11,Control group (no donation request),2.27272727272727,4,40,Male,Strong Republican,"Management, professional, and related occupations",High School / GED,White/Caucasian
12,Control group (no donation request),3.18181818181818,2.54545454545455,31,Female,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
13,Control group (no donation request),4.45454545454545,3.63636363636364,32,Female,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
14,Control group (no donation request),3.77272727272727,3.63636363636364,42,Female,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
15,Control group (no donation request),2.81818181818182,2.81818181818182,28,Male,Independent,Sales and office occupations,High School / GED,African American
17,Control group (no donation request),3.45454545454545,4.09090909090909,37,Female,Moderate Republican,Sales and office occupations,4-year College Degree,White/Caucasian
18,Control group (no donation request),3.81818181818182,3.63636363636364,42,Female,Moderate Democrat,Government occupations,4-year College Degree,White/Caucasian
19,Control group (no donation request),2.95454545454545,2.81818181818182,30,Male,Moderate Republican,"Farming, fishing, and forestry",4-year College Degree,White/Caucasian
20,Control group (no donation request),2.5,3.81818181818182,33,Female,Moderate Democrat,Unemployed,4-year College Degree,White/Caucasian
21,Control group (no donation request),2.5,2.27272727272727,29,Female,Moderate Democrat,Service occupations,4-year College Degree,White/Caucasian
22,Control group (no donation request),3.31818181818182,2.90909090909091,45,Female,Independent,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
24,Control group (no donation request),2.86363636363636,2.90909090909091,22,Female,Strong Democrat,Sales and office occupations,2-year College Degree,White/Caucasian
25,Control group (no donation request),3.45454545454545,3.72727272727273,29,Male,Moderate Republican,Sales and office occupations,2-year College Degree,White/Caucasian
26,Control group (no donation request),3.54545454545455,2.45454545454545,44,Female,Moderate Republican,Unemployed,Master's Degree,White/Caucasian
27,Control group (no donation request),3.09090909090909,2.63636363636364,28,Female,Moderate Democrat,Sales and office occupations,2-year College Degree,White/Caucasian
30,Control group (no donation request),2.77272727272727,3.36363636363636,51,Male,Independent,Sales and office occupations,4-year College Degree,White/Caucasian
32,Control group (no donation request),3.95454545454545,2.63636363636364,32,Female,Independent,Other,4-year College Degree,African American
