ID,IV_MAIN_Variable,Politeness_perception,Happiness_PostRequest,age,gender,pol1,job,edu,ethni
167,Experimental group: asked to donate but refused in T2,3.136363636,5,24,Male,Strong Democrat,"Production, transportation, and material moving occupations",High School / GED,African American
168,Experimental group: asked to donate but refused in T2,3.136363636,2.272727273,29,Female,Moderate Republican,Sales and office occupations,4-year College Degree,White/Caucasian
170,Experimental group: asked to donate but refused in T2,3.636363636,1.545454545,22,Female,Moderate Democrat,Unemployed,High School / GED,White/Caucasian
177,Experimental group: asked to donate but refused in T2,3.136363636,3.454545455,46,Female,Independent,Other,High School / GED,White/Caucasian
178,Experimental group: asked to donate but refused in T2,2.909090909,1.909090909,29,Male,Independent,Unemployed,High School / GED,White/Caucasian
185,Experimental group: asked to donate but refused in T2,2.954545455,2.454545455,33,Male,Independent,"Management, professional, and related occupations","Professional Degree (JD, MD)",White/Caucasian
187,Experimental group: asked to donate but refused in T2,3.863636364,1.545454545,22,Female,Moderate Democrat,Other,4-year College Degree,Hispanic
198,Experimental group: asked to donate but refused in T2,3.5,2.363636364,41,Male,Moderate Republican,"Management, professional, and related occupations",4-year College Degree,Hispanic
203,Experimental group: asked to donate but refused in T2,2.545454545,3.636363636,38,Female,Moderate Democrat,Service occupations,2-year College Degree,White/Caucasian
210,Experimental group: asked to donate but refused in T2,3.363636364,2.272727273,32,Male,Strong Democrat,Service occupations,High School / GED,White/Caucasian
211,Experimental group: asked to donate but refused in T2,2.318181818,1.818181818,27,Female,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
213,Experimental group: asked to donate but refused in T2,3.409090909,3.636363636,45,Male,Strong Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
214,Experimental group: asked to donate but refused in T2,2.909090909,3.363636364,30,Male,Strong Democrat,"Management, professional, and related occupations",Doctoral Degree,White/Caucasian
215,Experimental group: asked to donate but refused in T2,2.363636364,3,27,Male,Independent,Government occupations,4-year College Degree,White/Caucasian
221,Experimental group: asked to donate but refused in T2,3,1,29,Female,Independent,Unemployed,4-year College Degree,White/Caucasian
225,Experimental group: asked to donate but refused in T2,4.272727273,3.454545455,57,Female,Independent,Other,High School / GED,White/Caucasian
226,Experimental group: asked to donate but refused in T2,3.590909091,1,42,Female,Strong Democrat,"Management, professional, and related occupations",High School / GED,White/Caucasian
232,Experimental group: asked to donate but refused in T2,3,4,31,Male,Independent,"Management, professional, and related occupations",4-year College Degree,Asian
238,Experimental group: asked to donate but refused in T2,2.090909091,1.363636364,47,Female,Strong Republican,Other,Master's Degree,White/Caucasian
241,Experimental group: asked to donate but refused in T2,2.590909091,4,39,Male,Strong Republican,Sales and office occupations,4-year College Degree,White/Caucasian
242,Experimental group: asked to donate but refused in T2,2.272727273,2.545454545,61,Female,Strong Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
246,Experimental group: asked to donate but refused in T2,2.136363636,4,32,Female,Moderate Republican,Unemployed,4-year College Degree,White/Caucasian
249,Experimental group: asked to donate but refused in T2,3.181818182,1.636363636,47,Male,Strong Republican,Service occupations,4-year College Degree,White/Caucasian
250,Experimental group: asked to donate but refused in T2,3.181818182,2.818181818,36,Female,Independent,Unemployed,Master's Degree,White/Caucasian
252,Experimental group: asked to donate but refused in T2,2.863636364,4.636363636,31,Female,Moderate Republican,Other,Master's Degree,White/Caucasian
255,Experimental group: asked to donate but refused in T2,2.863636364,1.727272727,20,Female,Moderate Democrat,Student,2-year College Degree,White/Caucasian
258,Experimental group: asked to donate but refused in T2,3.454545455,2.363636364,32,Female,Moderate Republican,Unemployed,High School / GED,Asian
259,Experimental group: asked to donate but refused in T2,4.090909091,2.909090909,33,Female,Independent,Unemployed,4-year College Degree,White/Caucasian
263,Experimental group: asked to donate but refused in T2,2.636363636,2.363636364,29,Female,Moderate Democrat,"Production, transportation, and material moving occupations",2-year College Degree,White/Caucasian
267,Experimental group: asked to donate but refused in T2,3.227272727,2.909090909,46,Male,Moderate Democrat,Other,4-year College Degree,African American
272,Experimental group: asked to donate but refused in T2,3.272727273,3.272727273,29,Male,Moderate Republican,Government occupations,High School / GED,White/Caucasian
281,Experimental group: asked to donate but refused in T2,2.818181818,4.181818182,46,Female,Strong Republican,Other,4-year College Degree,White/Caucasian
284,Experimental group: asked to donate but refused in T2,3.863636364,3.636363636,28,Male,Strong Democrat,Sales and office occupations,4-year College Degree,White/Caucasian
286,Experimental group: asked to donate but refused in T2,2.545454545,2,48,Male,Strong Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
287,Experimental group: asked to donate but refused in T2,3,4,46,Male,Moderate Republican,"Construction, extraction, and maintenance occupations",4-year College Degree,White/Caucasian
288,Experimental group: asked to donate but refused in T2,3.545454545,3.727272727,49,Male,Moderate Republican,"Management, professional, and related occupations",High School / GED,White/Caucasian
292,Experimental group: asked to donate but refused in T2,2.772727273,3.454545455,35,Male,Moderate Republican,Sales and office occupations,High School / GED,White/Caucasian
298,Experimental group: asked to donate but refused in T2,2.227272727,3.181818182,34,Female,Strong Republican,Unemployed,High School / GED,White/Caucasian
302,Experimental group: asked to donate but refused in T2,2.227272727,1.818181818,43,Female,Independent,Sales and office occupations,4-year College Degree,Asian
313,Experimental group: asked to donate but refused in T2,3.818181818,4.181818182,45,Male,Strong Democrat,Unemployed,4-year College Degree,White/Caucasian
317,Experimental group: asked to donate but refused in T2,3.136363636,3.090909091,34,Male,Moderate Democrat,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
326,Experimental group: asked to donate but refused in T2,3.227272727,4,36,Male,Moderate Democrat,Other,Doctoral Degree,White/Caucasian
331,Experimental group: asked to donate but refused in T2,3,5,29,Male,Independent,"Management, professional, and related occupations",4-year College Degree,White/Caucasian
338,Experimental group: asked to donate but refused in T2,3.818181818,1.545454545,32,Female,Moderate Republican,"Management, professional, and related occupations",Master's Degree,White/Caucasian
